Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Time,VEI
1994,6,6,,EQ,Huila,Colombia,Colombia,2.92,-76.05,D5,
1994,9,19,TSU,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,D1,3
1994,11,3,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,D1,3
1994,11,22,,,Merapi,Java,Indonesia,-7.542,110.442,D1,3
1995,2,4,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.425,D1,3
1995,2,11,,,Yake-dake,Honshu-Japan,Japan,36.22,137.58,D1,1
1995,4,2,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,D1,2
1995,4,7,,,Pacaya,Guatemala,Guatemala,14.381,-90.601,D1,3
1995,5,15,,,Kelimutu,Lesser Sunda Is,Indonesia,-8.758,121.83,D1,
1995,9,6,,,Parker,Mindanao-Philippines,Philippines,6.12,124.892,D5,
1996,1,2,TSU,,Karymsky,Kamchatka,Russia,54.05,159.43,D1,2
1996,4,30,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,D1,3
1996,8,10,,,Kanlaon,Philippines-C,Philippines,10.412,123.132,D1,2
1996,9,27,,,Maderas,Nicaragua,Nicaragua,11.446,-85.515,U,
1996,9,30,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,D1,3
1996,12,3,,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,D1,3
1997,1,14,,,Merapi,Java,Indonesia,-7.542,110.442,D1,2
1997,4,17,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,1
1997,6,25,,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,D1,3
1997,7,12,,,Hakkoda Group,Honshu-Japan,Japan,40.65,140.88,U,
1997,8,1,,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,D1,3
1997,9,2,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1997,9,15,,,Adatara,Honshu-Japan,Japan,37.62,140.28,D1,
1997,11,23,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,
1997,12,26,TSU,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,D1,
1998,4,28,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,
1998,7,,,,Kelut,Java,Indonesia,-7.93,112.308,D1,
1998,10,30,,,San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,D1,
1999,1,20,TSU,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,D1,3
1999,5,21,,,Fuego,Guatemala,Guatemala,14.473,-90.88,D1,2
1999,8,15,,,Shiveluch,Kamchatka,Russia,56.653,161.36,D1,4
1999,10,5,,,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,D1,3
1999,10,16,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,D1,3
2000,6,27,TSU,EQ,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,D1,2
2000,7,27,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
2000,8,23,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,D1,3
2000,11,3,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,
2000,11,,,,Merapi,Java,Indonesia,-7.542,110.442,D1,2
2001,5,14,,,Etna,Italy,Italy,37.734,15.004,D1,3
2001,7,26,,,Etna,Italy,Italy,37.734,15.004,D1,2
2001,8,5,,,Merapi,Java,Indonesia,-7.542,110.442,D1,2
2001,10,20,,,Stromboli,Italy,Italy,38.789,15.213,D1,2
2002,1,3,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,3
2002,1,17,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,D1,1
2002,8,28,,EQ,Etna,Italy,Italy,37.734,15.004,D1,3
2002,11,3,,,Reventador,Ecuador,Ecuador,-0.078,-77.656,D1,4
2002,12,30,TSU,,Stromboli,Italy,Italy,38.789,15.213,D1,
2002,,,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
2003,7,12,TSU,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,D1,3
2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,-8.67,122.45,D2,1
2004,6,8,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,D1,2
2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,D1,4
2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,D1,4
2005,10,1,,,Santa Ana,El Salvador,El Salvador,13.853,-89.63,D2,3
2005,11,24,,,Karthala,Indian O-W,Comoros,-11.75,43.38,D1,
2006,3,17,,,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,D1,
2006,5,20,TSU,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,D1,2
2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,D1,2
2006,6,14,,,Merapi,Java,Indonesia,-7.542,110.442,D1,1
2006,7,18,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,D1,3
2006,8,17,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,D1,3
2006,11,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,1
2007,3,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,D1,4
2007,4,18,,,Huila,Colombia,Colombia,2.92,-76.05,D5,
2007,7,7,,,Salak,Java,Indonesia,-6.72,106.73,D2,
2007,9,30,,,"Tair, Jebel at",Red Sea,Yemen,15.7,41.742,D3,
2008,5,2,,,Chaiten,Chile-S,Chile,-42.833,-72.646,D1,
2008,8,8,TSU,,Kasatochi,Aleutian Is,United States,52.18,-175.5,D1,3
2008,8,22,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,D1,3
2008,11,20,,,Huila,Colombia,Colombia,2.92,-76.05,D5,
2009,3,23,,,Redoubt,Alaska-SW,United States,60.48,-152.75,D1,
2009,11,30,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,
2010,1,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,D1,3
2010,3,31,,,Eyjafjallajokull,Iceland-S,Iceland,63.63,-19.62,D1,2
2010,5,27,,,Pacaya,Guatemala,Guatemala,14.381,-90.601,D1,1
2010,5,29,TSU,EQ,Sarigan,Mariana Is-C Pacific,United States,16.708,145.78,U,
2010,8,6,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,3
2010,8,30,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,
2010,10,26,,,Merapi,Java,Indonesia,-7.542,110.442,D1,
2010,11,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,D1,3
2010,12,28,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,D1,
2011,1,3,,,Merapi,Java,Indonesia,-7.542,110.442,D1,
2011,1,28,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,D1,
2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,D1,2
2011,3,18,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,
2011,4,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,D1,4
2011,6,4,,,Puyehue,Chile-C,Chile,-40.59,-72.117,U,4
2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,Unknown,3
2011,7,9,,,Katla,Iceland-S,Iceland,63.63,-19.05,D2,
2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,D1,
2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,D1,3
2012,2,10,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,
2012,3,2,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,
2012,12,12,,,Tolbachik,Kamchatka,Russia,55.83,160.33,D1,
2013,2,12,,,Merapi,Java,Indonesia,-7.542,110.442,D1,
2013,2,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,D1,
2013,5,7,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,
2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,D1,3
2013,9,1,,,Ubinas,Peru,Peru,-16.355,-70.903,D1,
2013,9,4,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,D1,
2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,2
2013,12,13,,,Okataina,New Zealand,New Zealand,-38.12,176.5,D1,
2014,2,1,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,
2014,2,13,,,Kelut,Java,Indonesia,-7.93,112.308,D1,
2014,9,27,,,On-take,Honshu-Japan,Japan,35.9,137.48,D1,3
2014,11,10,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,
2014,11,23,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,D1,
2014,12,18,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,D1,
2015,2,20,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,
2015,4,22,,,Calbuco,Chile-S,Chile,-41.326,-72.614,D2,
2015,5,7,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,
2015,7,31,,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,D1,2
2015,10,16,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,
2015,10,,,,Okataina,New Zealand,New Zealand,-38.12,176.5,D1,
2016,5,9,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,
2016,5,21,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,
2016,6,9,,,Yellowstone,US-Wyoming,United States,44.43,-110.67,D7,
2016,9,27,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,D1,
2016,10,8,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,
2017,3,15,,,Etna,Italy,Italy,37.734,15.004,D1,
2017,4,13,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,2
2017,6,6,,,Fuego,Guatemala,Guatemala,14.473,-90.88,D1,2
2017,7,1,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,D1,
2017,9,12,,,Campi Flegrei,Italy,Italy,40.827,14.139,D5,
2017,9,23,,,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,D1,
2017,12,18,,,Merapi,Java,Indonesia,-7.542,110.442,D1,
2017,12,27,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,
2018,1,5,,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,U,
2018,1,13,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,
2018,1,23,,,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,D1,
2018,2,1,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,1
2018,2,9,TSU,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,U,
2018,3,21,,,Ijen,Java,Indonesia,-8.058,114.242,D1,
2018,3,30,,,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,D1,3
2018,4,28,TSU,EQ,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,1
2018,6,3,,,Fuego,Guatemala,Guatemala,14.473,-90.88,D1,2
2018,7,16,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,
2018,8,25,,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,D1,4
2018,12,15,,EQ,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,D1,2
2018,12,22,TSU,,Krakatau,Indonesia,Indonesia,-6.102,105.423,D1,1
2018,12,26,,EQ,Etna,Italy,Italy,37.734,15.004,D1,2
2019,1,7,,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,D1,4
2019,5,7,,,Sinabung,Sumatra,Indonesia,3.17,98.392,U,
2019,6,26,,,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,D1,
2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,D1,4
2019,7,3,,,Stromboli,Italy,Italy,38.789,15.213,D1,2
2019,8,28,TSU,,Stromboli,Italy,Italy,38.789,15.213,D1,2
2019,12,9,,,White Island,New Zealand,New Zealand,-37.52,177.18,D1,2
2020,1,12,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,D1,
