Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Time,VEI
1918,7,18,TSU,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,D2,3
1918,10,12,,,Katla,Iceland-S,Iceland,63.63,-19.05,D2,4
1919,2,19,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,D1,1
1919,4,3,TSU,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,D2,
1919,5,19,,,Kelut,Java,Indonesia,-7.93,112.308,D1,4
1919,5,22,TSU,,Stromboli,Italy,Italy,38.789,15.213,D1,3
1919,7,6,,,Nasu,Honshu-Japan,Japan,37.12,139.97,D2,
1919,9,29,TSU,,Mauna Loa,Hawaiian Is,United States,19.475,-155.608,D1,0
1920,7,25,,,Merapi,Java,Indonesia,-7.542,110.442,D1,3
1920,10,29,,,Izalco,El Salvador,El Salvador,13.813,-89.633,D1,3
1921,11,26,,,Nasu,Honshu-Japan,Japan,37.12,139.97,D2,
1923,3,2,TSU,EQ,"Cendres, Ile des",SE Asia,Vietnam,10.158,109.014,D2,2
1923,3,11,,,Papandayan,Java,Indonesia,-7.32,107.73,D2,1
1923,6,,,,Tangkubanparahu,Java,Indonesia,-6.77,107.6,D1,
1923,7,1,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,D1,2
1924,5,10,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,D1,2
1926,5,24,,,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,D1,3
1927,9,5,,,Esjufjoll,Iceland-SE,Iceland,64.27,-16.65,D2,1
1928,1,23,,,Santorini,Greece,Greece,36.404,25.396,D2,2
1928,1,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,3
1928,3,28,TSU,,Krakatau,Indonesia,Indonesia,-6.102,105.423,D1,
1928,5,13,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,D1,2
1928,8,4,TSU,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,D1,3
1928,11,2,,,Etna,Italy,Italy,37.734,15.004,D1,1
1929,1,6,,,Calbuco,Chile-S,Chile,-41.326,-72.614,D2,3
1929,6,17,,,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,D1,4
1929,8,2,,,Etna,Italy,Italy,37.734,15.004,D1,2
1929,11,2,,,Santa Maria,Guatemala,Guatemala,14.756,-91.552,D1,3
1930,3,17,TSU,,Krakatau,Indonesia,Indonesia,-6.102,105.423,D1,2
1930,8,20,,,Asama,Honshu-Japan,Japan,36.4,138.53,D1,3
1930,9,11,TSU,,Stromboli,Italy,Italy,38.789,15.213,D1,3
1930,12,18,,,Merapi,Java,Indonesia,-7.542,110.442,D1,3
1931,8,20,,,Asama,Honshu-Japan,Japan,36.4,138.53,D1,3
1932,1,21,,,Fuego,Guatemala,Guatemala,14.473,-90.88,D1,4
1932,2,,,,Merapi,Java,Indonesia,-7.542,110.442,D1,
1932,10,1,,,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,D1,3
1933,1,8,TSU,,Kharimkotan,Kuril Is,Russia,49.12,154.508,D2,3
1933,5,10,,,Hakone,Honshu-Japan,Japan,35.22,139.02,D7,
1933,12,24,,,Kuchinoerabu-jima,Ryukyu Is,Japan,30.43,130.22,D1,4
1933,12,25,TSU,,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,D1,2
1934,,,,,Hood,US-Oregon,United States,45.374,-121.694,D3,
1936,2,,,,Asama,Honshu-Japan,Japan,36.4,138.53,D1,3
1937,2,9,,,Llaima,Chile-C,Chile,-38.692,-71.729,D1,2
1937,5,29,TSU,EQ,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,D1,4
1938,1,28,TSU,,Nyamuragira,Africa-C,"Congo, DRC",-1.408,29.2,D1,1
1938,5,9,,,Bandai,Honshu-Japan,Japan,37.6,140.08,D3,
1938,6,5,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,2
1938,7,16,,,Asama,Honshu-Japan,Japan,36.4,138.53,D1,1
1939,7,24,TSU,,Kick-'em-Jenny,W Indies,Netherlands,12.3,-61.63,D1,1
1939,8,17,,,Tori-shima,Izu Is-Japan,Japan,30.48,140.32,D1,2
1939,10,13,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,D1,1
1940,6,20,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,D1,2
